"month","Models","values"
2018-01-01,"Model predicted",147.193265828789
2018-02-01,"Model predicted",149.069982985526
2018-03-01,"Model predicted",150.970628324484
2018-04-01,"Model predicted",152.895506930476
2018-05-01,"Model predicted",154.844927778153
2018-06-01,"Model predicted",156.819203781602
2018-07-01,"Model predicted",158.818651844566
2018-08-01,"Model predicted",160.843592911321
2018-09-01,"Model predicted",162.894352018188
2018-10-01,"Model predicted",164.971258345708
2018-11-01,"Model predicted",167.074645271479
2018-12-01,"Model predicted",169.204850423673
2019-01-01,"Model predicted",171.362215735226
2019-02-01,"Model predicted",173.547087498727
2019-03-01,"Model predicted",175.759816422002
2019-04-01,"Model predicted",178.000757684408
2019-05-01,"Model predicted",180.270270993849
2019-06-01,"Model predicted",182.56872064451
2019-07-01,"Model predicted",184.896475575334
2019-08-01,"Model predicted",187.253909429244
2019-09-01,"Model predicted",189.641400613119
2019-10-01,"Model predicted",192.059332358531
2019-11-01,"Model predicted",194.508092783264
2019-12-01,"Model predicted",196.988074953611
2020-01-01,"Model predicted",199.499676947468
2020-02-01,"Model predicted",202.043301918235
2020-03-01,"Model predicted",86.7377663186049
2020-04-01,"Model predicted",85.6237659974665
2020-05-01,"Model predicted",84.5240731316406
2020-06-01,"Model predicted",83.4385039659937
2020-07-01,"Model predicted",82.3668771054172
2020-08-01,"Model predicted",81.3090134845169
2020-09-01,"Model predicted",90.4098173318165
2020-10-01,"Model predicted",95.3406297161222
2020-11-01,"Model predicted",100.540361024133
2020-12-01,"Model predicted",106.023677680342
2021-01-01,"Model predicted",111.806045993477
2021-02-01,"Model predicted",117.903775780958
2021-03-01,"Model predicted",124.334066372559
2021-04-01,"Model predicted",131.115055123049
2021-05-01,"Model predicted",138.26586857063
2021-06-01,"Model predicted",145.806676385479
2021-07-01,"Model predicted",153.758748260565
2021-08-01,"Model predicted",162.144513905196
2021-09-01,"Model predicted",170.98762631053
2021-10-01,"Model predicted",180.313028465483
2021-11-01,"Model predicted",190.147023711222
2021-12-01,"Model predicted",200.51734993269
2022-01-01,"Model predicted",211.453257796407
2022-02-01,"Model predicted",222.985593255262
2022-03-01,"Model predicted",235.14688455297
2018-01-01,"Adjusted for seasonality",105.250100035471
2018-02-01,"Adjusted for seasonality",117.574276613526
2018-03-01,"Adjusted for seasonality",129.017343709228
2018-04-01,"Adjusted for seasonality",139.582510476195
2018-05-01,"Adjusted for seasonality",149.272986068048
2018-06-01,"Adjusted for seasonality",158.091979638405
2018-07-01,"Adjusted for seasonality",166.042700340885
2018-08-01,"Adjusted for seasonality",173.119403656372
2018-09-01,"Adjusted for seasonality",179.31147964767
2018-10-01,"Adjusted for seasonality",184.614839341283
2018-11-01,"Adjusted for seasonality",189.025393763715
2018-12-01,"Adjusted for seasonality",192.53905394147
2019-01-01,"Adjusted for seasonality",195.15173090105
2019-02-01,"Adjusted for seasonality",196.732475776882
2019-03-01,"Adjusted for seasonality",197.21684304658
2019-04-01,"Adjusted for seasonality",196.700498751431
2019-05-01,"Adjusted for seasonality",195.279108932721
2019-06-01,"Adjusted for seasonality",193.048339631736
2019-07-01,"Adjusted for seasonality",190.103856889764
2019-08-01,"Adjusted for seasonality",186.541326748089
2019-09-01,"Adjusted for seasonality",181.021830308437
2019-10-01,"Adjusted for seasonality",172.9197682452
2019-11-01,"Adjusted for seasonality",163.400785958664
2019-12-01,"Adjusted for seasonality",153.630528849115
2020-01-01,"Adjusted for seasonality",144.774642316839
2020-02-01,"Adjusted for seasonality",137.998771762123
2020-03-01,"Adjusted for seasonality",131.707976146206
2020-04-01,"Adjusted for seasonality",124.064880884813
2020-05-01,"Adjusted for seasonality",115.871481059949
2020-06-01,"Adjusted for seasonality",107.929771753622
2020-07-01,"Adjusted for seasonality",101.041748047841
2020-08-01,"Adjusted for seasonality",96.0094050246122
2020-09-01,"Adjusted for seasonality",93.6347377659441
2020-10-01,"Adjusted for seasonality",93.6055257051348
2020-11-01,"Adjusted for seasonality",94.9705018721297
2020-12-01,"Adjusted for seasonality",97.5730917439067
2021-01-01,"Adjusted for seasonality",101.256720797444
2021-02-01,"Adjusted for seasonality",105.86481450972
2021-03-01,"Adjusted for seasonality",111.240798357712
2021-04-01,"Adjusted for seasonality",117.503268521159
2021-05-01,"Adjusted for seasonality",124.854139480617
2021-06-01,"Adjusted for seasonality",133.261814164288
2021-07-01,"Adjusted for seasonality",142.694695500372
2021-08-01,"Adjusted for seasonality",153.121186417072
2021-09-01,"Adjusted for seasonality",164.50968984259
2021-10-01,"Adjusted for seasonality",176.852839877564
2021-11-01,"Adjusted for seasonality",190.171729387754
2021-12-01,"Adjusted for seasonality",204.477449449044
2022-01-01,"Adjusted for seasonality",219.781091137315
2022-02-01,"Adjusted for seasonality",236.093745528453
2022-03-01,"Adjusted for seasonality",253.426503698339
2018-01-01,"Counterfactual",147.193265828789
2018-02-01,"Counterfactual",149.069982985526
2018-03-01,"Counterfactual",150.970628324484
2018-04-01,"Counterfactual",152.895506930476
2018-05-01,"Counterfactual",154.844927778153
2018-06-01,"Counterfactual",156.819203781602
2018-07-01,"Counterfactual",158.818651844566
2018-08-01,"Counterfactual",160.843592911321
2018-09-01,"Counterfactual",162.894352018188
2018-10-01,"Counterfactual",164.971258345708
2018-11-01,"Counterfactual",167.074645271479
2018-12-01,"Counterfactual",169.204850423673
2019-01-01,"Counterfactual",171.362215735226
2019-02-01,"Counterfactual",173.547087498727
2019-03-01,"Counterfactual",175.759816422002
2019-04-01,"Counterfactual",178.000757684408
2019-05-01,"Counterfactual",180.270270993849
2019-06-01,"Counterfactual",182.56872064451
2019-07-01,"Counterfactual",184.896475575334
2019-08-01,"Counterfactual",187.253909429244
2019-09-01,"Counterfactual",189.641400613119
2019-10-01,"Counterfactual",192.059332358531
2019-11-01,"Counterfactual",194.508092783264
2019-12-01,"Counterfactual",196.988074953611
2020-01-01,"Counterfactual",199.499676947468
2020-02-01,"Counterfactual",202.043301918235
2020-03-01,"Counterfactual",204.619358159523
2020-04-01,"Counterfactual",207.228259170695
2020-05-01,"Counterfactual",209.870423723241
2020-06-01,"Counterfactual",212.546275927997
2020-07-01,"Counterfactual",215.256245303216
2020-08-01,"Counterfactual",218.000766843524
2020-09-01,"Counterfactual",220.780281089733
2020-10-01,"Counterfactual",223.595234199559
2020-11-01,"Counterfactual",226.446078019242
2020-12-01,"Counterfactual",229.333270156067
2021-01-01,"Counterfactual",232.257274051824
2021-02-01,"Counterfactual",235.218559057192
2021-03-01,"Counterfactual",238.217600507085
2021-04-01,"Counterfactual",241.254879796943
2021-05-01,"Counterfactual",244.33088446001
2021-06-01,"Counterfactual",247.446108245589
2021-07-01,"Counterfactual",250.601051198295
2021-08-01,"Counterfactual",253.796219738323
2021-09-01,"Counterfactual",257.032126742737
2021-10-01,"Counterfactual",260.309291627792
2021-11-01,"Counterfactual",263.628240432312
2021-12-01,"Counterfactual",266.989505902128
2022-01-01,"Counterfactual",270.393627575589
2022-02-01,"Counterfactual",273.84115187017
2022-03-01,"Counterfactual",277.33263217018
