"month","Models","values"
2018-01-01,"Model predicted",1077.60394471616
2018-02-01,"Model predicted",1104.10090876816
2018-03-01,"Model predicted",1131.24940078404
2018-04-01,"Model predicted",1159.06544104019
2018-05-01,"Model predicted",1187.56544373204
2018-06-01,"Model predicted",1216.76622666
2018-07-01,"Model predicted",1246.68502115363
2018-08-01,"Model predicted",1277.33948223987
2018-09-01,"Model predicted",1308.74769906114
2018-10-01,"Model predicted",1340.92820554982
2018-11-01,"Model predicted",1373.89999136499
2018-12-01,"Model predicted",1407.68251309826
2019-01-01,"Model predicted",1442.29570575507
2019-02-01,"Model predicted",1477.75999451824
2019-03-01,"Model predicted",1514.09630680089
2019-04-01,"Model predicted",1551.32608459568
2019-05-01,"Model predicted",1589.47129712762
2019-06-01,"Model predicted",1628.55445381815
2019-07-01,"Model predicted",1668.59861756786
2019-08-01,"Model predicted",1709.62741836587
2019-09-01,"Model predicted",1751.66506723387
2019-10-01,"Model predicted",1794.73637051298
2019-11-01,"Model predicted",1838.86674450194
2019-12-01,"Model predicted",1884.08223045519
2020-01-01,"Model predicted",1930.40950994982
2020-02-01,"Model predicted",1977.87592063027
2020-03-01,"Model predicted",596.574026853372
2020-04-01,"Model predicted",649.144793419974
2020-05-01,"Model predicted",706.348154388947
2020-06-01,"Model predicted",768.592339129929
2020-07-01,"Model predicted",836.321550638512
2020-08-01,"Model predicted",910.019135572162
2020-09-01,"Model predicted",780.373148150257
2020-10-01,"Model predicted",822.857159196915
2020-11-01,"Model predicted",867.654026854402
2020-12-01,"Model predicted",914.889664509201
2021-01-01,"Model predicted",964.696840352723
2021-02-01,"Model predicted",1017.21555056125
2021-03-01,"Model predicted",1072.59341279205
2021-04-01,"Model predicted",1130.98608110161
2021-05-01,"Model predicted",1192.5576834524
2021-06-01,"Model predicted",1257.48128303762
2021-07-01,"Model predicted",1325.93936472094
2021-08-01,"Model predicted",1398.12434795816
2021-09-01,"Model predicted",1474.23912764279
2021-10-01,"Model predicted",1554.49764439551
2021-11-01,"Model predicted",1639.12548590062
2021-12-01,"Model predicted",1728.36052097957
2022-01-01,"Model predicted",1822.45356818392
2022-02-01,"Model predicted",1921.66910078684
2022-03-01,"Model predicted",2026.28599015491
2018-01-01,"Adjusted for seasonality",885.893280430286
2018-02-01,"Adjusted for seasonality",968.228696125034
2018-03-01,"Adjusted for seasonality",1045.67829010001
2018-04-01,"Adjusted for seasonality",1118.58710796726
2018-05-01,"Adjusted for seasonality",1187.30019533882
2018-06-01,"Adjusted for seasonality",1252.16259782675
2018-07-01,"Adjusted for seasonality",1313.51936104309
2018-08-01,"Adjusted for seasonality",1371.93023111289
2018-09-01,"Adjusted for seasonality",1427.0609329979
2018-10-01,"Adjusted for seasonality",1477.91548056521
2018-11-01,"Adjusted for seasonality",1523.49788768192
2018-12-01,"Adjusted for seasonality",1562.81216821512
2019-01-01,"Adjusted for seasonality",1594.86233603192
2019-02-01,"Adjusted for seasonality",1623.83815262798
