"month","Models","values"
2018-01-01,"Model predicted",34.2985354626492
2018-02-01,"Model predicted",38.2370078903894
2018-03-01,"Model predicted",42.6277318459234
2018-04-01,"Model predicted",47.5226389977201
2018-05-01,"Model predicted",52.979624284739
2018-06-01,"Model predicted",59.063230673843
2018-07-01,"Model predicted",65.8454125473376
2018-08-01,"Model predicted",73.40638674967
2018-09-01,"Model predicted",81.8355813591147
2018-10-01,"Model predicted",91.2326934061277
2018-11-01,"Model predicted",101.708868048623
2018-12-01,"Model predicted",113.388013150967
2019-01-01,"Model predicted",126.408264814996
2019-02-01,"Model predicted",140.923621196743
2019-03-01,"Model predicted",157.105763932986
2019-04-01,"Model predicted",175.146088720701
2019-05-01,"Model predicted",195.257969066269
2019-06-01,"Model predicted",217.679279979136
2019-07-01,"Model predicted",242.67521145912
2019-08-01,"Model predicted",270.541405054138
2019-09-01,"Model predicted",301.607450586262
2019-10-01,"Model predicted",336.240784403928
2019-11-01,"Model predicted",374.851035267227
2019-12-01,"Model predicted",417.894869267591
2020-01-01,"Model predicted",465.88139108561
2020-02-01,"Model predicted",519.378165470804
2020-03-01,"Model predicted",174.639187678852
2020-04-01,"Model predicted",176.940421520429
2020-05-01,"Model predicted",179.271978895137
2020-06-01,"Model predicted",181.634259378476
2020-07-01,"Model predicted",184.027667811182
2020-08-01,"Model predicted",186.452614368608
2020-09-01,"Model predicted",227.250511143556
2020-10-01,"Model predicted",241.629730630996
2020-11-01,"Model predicted",256.918791649826
2020-12-01,"Model predicted",273.175264196314
2021-01-01,"Model predicted",290.460360993904
2021-02-01,"Model predicted",308.839167985867
2021-03-01,"Model predicted",328.380889412323
2021-04-01,"Model predicted",349.159108394448
2021-05-01,"Model predicted",371.252064007081
2021-06-01,"Model predicted",394.742945883032
2021-07-01,"Model predicted",419.720207458409
2021-08-01,"Model predicted",446.277899038455
2021-09-01,"Model predicted",474.51602193805
2021-10-01,"Model predicted",504.540905030364
2021-11-01,"Model predicted",536.465605121534
2021-12-01,"Model predicted",570.410332658943
2022-01-01,"Model predicted",606.502904376088
2022-02-01,"Model predicted",644.87922457844
2022-03-01,"Model predicted",685.683796882552
2018-01-01,"Adjusted for seasonality",-11.0019505563667
2018-02-01,"Adjusted for seasonality",5.31484113103357
2018-03-01,"Adjusted for seasonality",21.3092426359184
2018-04-01,"Adjusted for seasonality",37.0768631242338
2018-05-01,"Adjusted for seasonality",52.713311761926
2018-06-01,"Adjusted for seasonality",68.314197714941
2018-07-01,"Adjusted for seasonality",83.975130149225
2018-08-01,"Adjusted for seasonality",99.8988819453127
2018-09-01,"Adjusted for seasonality",116.025213920091
2018-10-01,"Adjusted for seasonality",132.055217144035
2018-11-01,"Adjusted for seasonality",147.68998268762
2018-12-01,"Adjusted for seasonality",162.630601621319
2019-01-01,"Adjusted for seasonality",176.578165015608
2019-02-01,"Adjusted for seasonality",190.953636730621
2019-03-01,"Adjusted for seasonality",206.786131694238
2019-04-01,"Adjusted for seasonality",223.188967578554
2019-05-01,"Adjusted for seasonality",239.275462055663
2019-06-01,"Adjusted for seasonality",254.158932797661
2019-07-01,"Adjusted for seasonality",266.952697476643
2019-08-01,"Adjusted for seasonality",276.770073764702
2019-09-01,"Adjusted for seasonality",282.697464245694
2019-10-01,"Adjusted for seasonality",285.200215392064
2019-11-01,"Adjusted for seasonality",285.460060708792
2019-12-01,"Adjusted for seasonality",284.65873370086
2020-01-01,"Adjusted for seasonality",283.97796787325
2020-02-01,"Adjusted for seasonality",284.599496730943
2020-03-01,"Adjusted for seasonality",283.041024828728
2020-04-01,"Adjusted for seasonality",276.461810923251
2020-05-01,"Adjusted for seasonality",267.005919822287
2020-06-01,"Adjusted for seasonality",256.817416333609
2020-07-01,"Adjusted for seasonality",248.040365264988
2020-08-01,"Adjusted for seasonality",242.818831424197
2020-09-01,"Adjusted for seasonality",243.29687961901
2020-10-01,"Adjusted for seasonality",247.292362978916
2020-11-01,"Adjusted for seasonality",251.907151983675
2020-12-01,"Adjusted for seasonality",258.211337466461
2021-01-01,"Adjusted for seasonality",267.275010260448
2021-02-01,"Adjusted for seasonality",280.168261198812
2021-03-01,"Adjusted for seasonality",297.961181114727
2021-04-01,"Adjusted for seasonality",319.851265387238
2021-05-01,"Adjusted for seasonality",344.42609628885
2021-06-01,"Adjusted for seasonality",371.840894992921
2021-07-01,"Adjusted for seasonality",402.250882672811
2021-08-01,"Adjusted for seasonality",435.811280501879
2021-09-01,"Adjusted for seasonality",472.677309653484
