"month","HTS_TST_TOTAL","HTS_TST_POS_TOTAL","TX_NEW_TOTAL","PREP_NEW_TOTAL","High","Low","time","inter1","inter2"
2018-01-01,733,84,24,10,0,0,1,0,0
2018-02-01,1215,134,59,61,0,0,2,0,0
2018-03-01,1314,136,55,47,0,0,3,0,0
2018-04-01,1073,126,37,55,0,0,4,0,0
2018-05-01,1286,164,65,62,0,0,5,0,0
2018-06-01,1480,180,141,50,0,0,6,0,0
2018-07-01,1143,163,103,25,0,0,7,0,0
2018-08-01,1465,212,125,107,0,0,8,0,0
2018-09-01,958,154,92,60,0,0,9,0,0
2018-10-01,1508,201,125,79,0,0,10,0,0
2018-11-01,1611,199,163,121,0,0,11,0,0
2018-12-01,667,58,53,113,0,0,12,0,0
2019-01-01,671,109,57,58,0,0,13,0,0
2019-02-01,1538,212,147,141,0,0,14,0,0
2019-03-01,1868,330,181,252,0,0,15,0,0
2019-04-01,1472,190,69,146,0,0,16,0,0
2019-05-01,1853,222,133,282,0,0,17,0,0
2019-06-01,1930,183,120,298,0,0,18,0,0
2019-07-01,1784,177,153,255,0,0,19,0,0
2019-08-01,2421,245,179,304,0,0,20,0,0
2019-09-01,2111,163,137,220,0,0,21,0,0
2019-10-01,1872,177,139,327,0,0,22,0,0
2019-11-01,2374,257,168,469,0,0,23,0,0
2019-12-01,880,92,72,202,0,0,24,0,0
2020-01-01,1579,152,143,393,0,0,25,0,0
2020-02-01,1785,184,203,538,0,0,26,0,0
2020-03-01,838,123,136,249,1,0,27,1,0
2020-04-01,399,46,41,98,1,0,28,2,0
2020-05-01,791,86,75,164,1,0,29,3,0
2020-06-01,500,51,42,147,1,0,30,4,0
2020-07-01,913,120,119,238,1,0,31,5,0
2020-08-01,1026,78,67,187,1,0,32,6,0
2020-09-01,1088,116,103,323,0,1,33,0,1
2020-10-01,692,91,88,189,0,1,34,0,2
2020-11-01,1245,150,130,339,0,1,35,0,3
2020-12-01,910,70,61,211,0,1,36,0,4
2021-01-01,800,85,74,190,0,1,37,0,5
2021-02-01,1218,135,121,363,0,1,38,0,6
2021-03-01,1136,102,94,348,0,1,39,0,7
2021-04-01,1271,156,131,385,0,1,40,0,8
2021-05-01,1435,144,129,563,0,1,41,0,9
2021-06-01,1213,204,199,435,0,1,42,0,10
2021-07-01,650,77,73,170,0,1,43,0,11
2021-08-01,25,9,7,12,0,1,44,0,12
2021-09-01,629,96,93,205,0,1,45,0,13
2021-10-01,1955,298,278,738,0,1,46,0,14
2021-11-01,2384,290,266,752,0,1,47,0,15
2021-12-01,1932,220,162,528,0,1,48,0,16
2022-01-01,1969,194,178,650,0,1,49,0,17
2022-02-01,2220,276,250,804,0,1,50,0,18
2022-03-01,2140,176,156,770,0,1,51,0,19
