"month","Models","values"
2018-01-01,"Model predicted",64.7190916549714
2018-02-01,"Model predicted",67.4496633173877
2018-03-01,"Model predicted",70.2954408860199
2018-04-01,"Model predicted",73.2612850283285
2018-05-01,"Model predicted",76.3522614888299
2018-06-01,"Model predicted",79.5736497415308
2018-07-01,"Model predicted",82.9309520074159
2018-08-01,"Model predicted",86.4299026523954
2018-09-01,"Model predicted",90.0764779817618
2018-10-01,"Model predicted",93.8769064478862
2018-11-01,"Model predicted",97.8376792885879
2018-12-01,"Model predicted",101.965561614351
2019-01-01,"Model predicted",106.26760396332
2019-02-01,"Model predicted",110.751154343818
2019-03-01,"Model predicted",115.423870784947
2019-04-01,"Model predicted",120.293734416717
2019-05-01,"Model predicted",125.36906310204
2019-06-01,"Model predicted",130.658525643868
2019-07-01,"Model predicted",136.171156591754
2019-08-01,"Model predicted",141.916371673111
2019-09-01,"Model predicted",147.903983875542
2019-10-01,"Model predicted",154.14422020769
2019-11-01,"Model predicted",160.647739167262
2019-12-01,"Model predicted",167.425648946033
2020-01-01,"Model predicted",174.489526402949
2020-02-01,"Model predicted",181.851436837731
2020-03-01,"Model predicted",89.050200114206
2020-04-01,"Model predicted",85.2004245255415
2020-05-01,"Model predicted",81.517080590754
2020-06-01,"Model predicted",77.9929732163179
2020-07-01,"Model predicted",74.6212183635443
2020-08-01,"Model predicted",71.3952296012063
2020-09-01,"Model predicted",83.6713093073475
2020-10-01,"Model predicted",87.9639687232188
2020-11-01,"Model predicted",92.4768580484007
2020-12-01,"Model predicted",97.221275922794
2021-01-01,"Model predicted",102.209100649906
2021-02-01,"Model predicted",107.452819935819
2021-03-01,"Model predicted",112.965562153884
2021-04-01,"Model predicted",118.76112921341
2021-05-01,"Model predicted",124.854031114644
2021-06-01,"Model predicted",131.259522276555
2021-07-01,"Model predicted",137.993639728374
2021-08-01,"Model predicted",145.073243260506
2021-09-01,"Model predicted",152.516057635331
2021-10-01,"Model predicted",160.340716963596
2021-11-01,"Model predicted",168.566811357471
2021-12-01,"Model predicted",177.214935977095
2022-01-01,"Model predicted",186.306742593395
2022-02-01,"Model predicted",195.864993796279
2022-03-01,"Model predicted",205.91361998391
2018-01-01,"Adjusted for seasonality",38.2398118561185
2018-02-01,"Adjusted for seasonality",48.7168259722214
2018-03-01,"Adjusted for seasonality",58.5980573735787
2018-04-01,"Adjusted for seasonality",67.8869310574724
2018-05-01,"Adjusted for seasonality",76.5868720211847
2018-06-01,"Adjusted for seasonality",84.7013052619979
2018-07-01,"Adjusted for seasonality",92.2336557771942
2018-08-01,"Adjusted for seasonality",99.1963965325986
2018-09-01,"Adjusted for seasonality",105.591030785383
2018-10-01,"Adjusted for seasonality",111.404528969848
2018-11-01,"Adjusted for seasonality",116.623861520298
2018-12-01,"Adjusted for seasonality",121.235998871034
2019-01-01,"Adjusted for seasonality",125.227911456358
2019-02-01,"Adjusted for seasonality",128.548503716135
2019-03-01,"Adjusted for seasonality",131.181406453451
2019-04-01,"Adjusted for seasonality",133.165679647444
2019-05-01,"Adjusted for seasonality",134.540383277251
2019-06-01,"Adjusted for seasonality",135.344577322008
2019-07-01,"Adjusted for seasonality",135.617321760853
2019-08-01,"Adjusted for seasonality",135.397676572921
2019-09-01,"Adjusted for seasonality",134.091549221752
2019-10-01,"Adjusted for seasonality",131.435147249493
2019-11-01,"Adjusted for seasonality",127.962980753202
2019-12-01,"Adjusted for seasonality",124.209559829933
2020-01-01,"Adjusted for seasonality",120.709394576744
2020-02-01,"Adjusted for seasonality",117.99699509069
2020-03-01,"Adjusted for seasonality",114.860477772082
2020-04-01,"Adjusted for seasonality",110.214493391247
2020-05-01,"Adjusted for seasonality",104.783353600267
2020-06-01,"Adjusted for seasonality",99.2913700512211
2020-07-01,"Adjusted for seasonality",94.4628543961915
2020-08-01,"Adjusted for seasonality",91.0221182872586
2020-09-01,"Adjusted for seasonality",89.6934733765032
2020-10-01,"Adjusted for seasonality",90.0732180260217
2020-11-01,"Adjusted for seasonality",91.2766928094634
2020-12-01,"Adjusted for seasonality",93.3067726962387
2021-01-01,"Adjusted for seasonality",96.1663326557582
2021-02-01,"Adjusted for seasonality",99.8582476574322
2021-03-01,"Adjusted for seasonality",104.385392670671
2021-04-01,"Adjusted for seasonality",109.725115794278
2021-05-01,"Adjusted for seasonality",115.859179281899
2021-06-01,"Adjusted for seasonality",122.797079335207
2021-07-01,"Adjusted for seasonality",130.548312155876
2021-08-01,"Adjusted for seasonality",139.122373945579
2021-09-01,"Adjusted for seasonality",148.52876090599
2021-10-01,"Adjusted for seasonality",158.762479025554
2021-11-01,"Adjusted for seasonality",169.811623084526
2021-12-01,"Adjusted for seasonality",181.6753224723
2022-01-01,"Adjusted for seasonality",194.352706578266
2022-02-01,"Adjusted for seasonality",207.842904791816
2022-03-01,"Adjusted for seasonality",222.145046502341
2018-01-01,"Counterfactual",64.7190916549714
2018-02-01,"Counterfactual",67.4496633173877
2018-03-01,"Counterfactual",70.2954408860199
2018-04-01,"Counterfactual",73.2612850283285
2018-05-01,"Counterfactual",76.3522614888299
2018-06-01,"Counterfactual",79.5736497415308
2018-07-01,"Counterfactual",82.9309520074159
2018-08-01,"Counterfactual",86.4299026523954
2018-09-01,"Counterfactual",90.0764779817618
2018-10-01,"Counterfactual",93.8769064478862
2018-11-01,"Counterfactual",97.8376792885879
2018-12-01,"Counterfactual",101.965561614351
2019-01-01,"Counterfactual",106.26760396332
2019-02-01,"Counterfactual",110.751154343818
2019-03-01,"Counterfactual",115.423870784947
2019-04-01,"Counterfactual",120.293734416717
2019-05-01,"Counterfactual",125.36906310204
2019-06-01,"Counterfactual",130.658525643868
2019-07-01,"Counterfactual",136.171156591754
2019-08-01,"Counterfactual",141.916371673111
2019-09-01,"Counterfactual",147.903983875542
2019-10-01,"Counterfactual",154.14422020769
2019-11-01,"Counterfactual",160.647739167262
2019-12-01,"Counterfactual",167.425648946033
2020-01-01,"Counterfactual",174.489526402949
2020-02-01,"Counterfactual",181.851436837731
2020-03-01,"Counterfactual",189.523954598735
2020-04-01,"Counterfactual",197.520184560294
2020-05-01,"Counterfactual",205.853784506209
2020-06-01,"Counterfactual",214.538988457625
2020-07-01,"Counterfactual",223.590630985133
2020-08-01,"Counterfactual",233.024172546634
2020-09-01,"Counterfactual",242.855725894231
2020-10-01,"Counterfactual",253.102083595257
2020-11-01,"Counterfactual",263.780746714451
2020-12-01,"Counterfactual",274.909954706266
2021-01-01,"Counterfactual",286.50871656836
2021-02-01,"Counterfactual",298.596843309501
2021-03-01,"Counterfactual",311.194981787318
2021-04-01,"Counterfactual",324.324649973712
2021-05-01,"Counterfactual",338.008273708151
2021-06-01,"Counterfactual",352.269225001629
2021-07-01,"Counterfactual",367.131861956715
2021-08-01,"Counterfactual",382.621570371869
2021-09-01,"Counterfactual",398.764807101094
2021-10-01,"Counterfactual",415.589145242983
2021-11-01,"Counterfactual",433.123321236337
2021-12-01,"Counterfactual",451.397283942807
2022-01-01,"Counterfactual",470.442245800383
2022-02-01,"Counterfactual",490.29073613511
2022-03-01,"Counterfactual",510.976656722082
