"month","HTS_TST_TOTAL","HTS_TST_POS_TOTAL","TX_NEW_TOTAL","PREP_NEW_TOTAL","High","Low","time","inter2","inter1"
2019-10-01,746,49,40,188,0,0,1,0,0
2019-11-01,1642,158,82,106,0,0,2,0,0
2019-12-01,784,54,62,139,0,0,3,0,0
2020-01-01,1100,111,118,343,0,0,4,0,0
2020-02-01,931,75,125,286,0,0,5,0,0
2020-03-01,907,66,112,251,1,0,6,0,1
2020-04-01,461,40,74,201,1,0,7,0,2
2020-05-01,755,45,122,614,1,0,8,0,3
2020-06-01,819,55,114,645,1,0,9,0,4
2020-07-01,624,39,86,513,1,0,10,0,5
2020-08-01,815,69,164,418,1,0,11,0,6
2020-09-01,446,100,56,249,0,1,12,1,0
2020-10-01,1775,115,95,835,0,1,13,2,0
2020-11-01,1447,63,120,797,0,1,14,3,0
2020-12-01,1380,86,80,538,0,1,15,4,0
2021-01-01,1540,142,144,764,0,1,16,5,0
2021-02-01,941,24,155,902,0,1,17,6,0
2021-03-01,772,30,138,774,0,1,18,7,0
2021-04-01,967,32,199,944,0,1,19,8,0
2021-05-01,789,36,204,908,0,1,20,9,0
2021-06-01,733,38,188,831,0,1,21,10,0
2021-07-01,676,28,167,654,0,1,22,11,0
2021-08-01,796,40,222,1046,0,1,23,12,0
2021-09-01,95,0,17,163,0,1,24,13,0
2021-10-01,1382,125,121,673,0,1,25,14,0
2021-11-01,1927,197,177,883,0,1,26,15,0
2021-12-01,1199,77,66,521,0,1,27,16,0
2022-01-01,1564,113,104,661,0,1,28,17,0
2022-02-01,1847,131,118,624,0,1,29,18,0
2022-03-01,2580,220,209,1180,0,1,30,19,0
