"month","Models","values"
2019-10-01,"Model predicted",1078.79500269093
2019-11-01,"Model predicted",1059.36619203418
2019-12-01,"Model predicted",1040.28728908242
2020-01-01,"Model predicted",1021.55199209106
2020-02-01,"Model predicted",1003.1541128083
2020-03-01,"Model predicted",723.935991782594
2020-04-01,"Model predicted",726.416580968908
2020-05-01,"Model predicted",728.905669971202
2020-06-01,"Model predicted",731.403287914358
2020-07-01,"Model predicted",733.90946402306
2020-08-01,"Model predicted",736.424227622126
2020-09-01,"Model predicted",953.013874399533
2020-10-01,"Model predicted",976.784055110932
2020-11-01,"Model predicted",1001.14711437975
2020-12-01,"Model predicted",1026.11783985055
2021-01-01,"Model predicted",1051.71138800305
2021-02-01,"Model predicted",1077.94329335156
2021-03-01,"Model predicted",1104.82947787406
2021-04-01,"Model predicted",1132.38626067629
2021-05-01,"Model predicted",1160.63036789702
2021-06-01,"Model predicted",1189.57894286024
2021-07-01,"Model predicted",1219.24955648072
2021-08-01,"Model predicted",1249.66021792896
2021-09-01,"Model predicted",1280.82938556226
2021-10-01,"Model predicted",1312.77597812836
2021-11-01,"Model predicted",1345.51938624858
2021-12-01,"Model predicted",1379.07948418731
2022-01-01,"Model predicted",1413.47664191512
2022-02-01,"Model predicted",1448.73173747271
2022-03-01,"Model predicted",1484.86616964324
2019-10-01,"Adjusted for seasonality",1197.19129738307
2019-11-01,"Adjusted for seasonality",1092.96043492196
2019-12-01,"Adjusted for seasonality",1004.31361986329
2020-01-01,"Adjusted for seasonality",933.118675269232
2020-02-01,"Adjusted for seasonality",881.712174276374
2020-03-01,"Adjusted for seasonality",848.750854571652
2020-04-01,"Adjusted for seasonality",830.582786042733
2020-05-01,"Adjusted for seasonality",823.556038577283
2020-06-01,"Adjusted for seasonality",843.994806446967
2020-07-01,"Adjusted for seasonality",895.688493723103
2020-08-01,"Adjusted for seasonality",956.182984992836
2020-09-01,"Adjusted for seasonality",1003.02416484332
2020-10-01,"Adjusted for seasonality",1060.65417215752
2020-11-01,"Adjusted for seasonality",1134.24244557675
2020-12-01,"Adjusted for seasonality",1172.4258193256
2021-01-01,"Adjusted for seasonality",1140.880953139
2021-02-01,"Adjusted for seasonality",1064.87816826901
2021-03-01,"Adjusted for seasonality",982.44479121601
2021-04-01,"Adjusted for seasonality",931.60814848039
2021-05-01,"Adjusted for seasonality",892.642411256174
2021-06-01,"Adjusted for seasonality",844.914370258611
2021-07-01,"Adjusted for seasonality",825.090281269914
2021-08-01,"Adjusted for seasonality",869.836400072293
2021-09-01,"Adjusted for seasonality",972.714522976257
2021-10-01,"Adjusted for seasonality",1106.47612978833
2021-11-01,"Adjusted for seasonality",1276.57200153476
2021-12-01,"Adjusted for seasonality",1488.45291924177
2022-01-01,"Adjusted for seasonality",1744.52040186792
2022-02-01,"Adjusted for seasonality",2041.57943817159
2022-03-01,"Adjusted for seasonality",2376.68601387887
2019-10-01,"Counterfactual",1078.79500269093
2019-11-01,"Counterfactual",1059.36619203418
2019-12-01,"Counterfactual",1040.28728908242
2020-01-01,"Counterfactual",1021.55199209106
2020-02-01,"Counterfactual",1003.1541128083
2020-03-01,"Counterfactual",985.087574431062
2020-04-01,"Counterfactual",967.346409597898
2020-05-01,"Counterfactual",949.924758417944
2020-06-01,"Counterfactual",932.816866535408
2020-07-01,"Counterfactual",916.017083228915
2020-08-01,"Counterfactual",899.519859545077
2020-09-01,"Counterfactual",883.31974646568
2020-10-01,"Counterfactual",867.411393107871
2020-11-01,"Counterfactual",851.789544956777
2020-12-01,"Counterfactual",836.449042129938
2021-01-01,"Counterfactual",821.384817673001
2021-02-01,"Counterfactual",806.591895886112
2021-03-01,"Counterfactual",792.065390680446
2021-04-01,"Counterfactual",777.800503964336
2021-05-01,"Counterfactual",763.792524058469
2021-06-01,"Counterfactual",750.036824139621
2021-07-01,"Counterfactual",736.528860712421
2021-08-01,"Counterfactual",723.264172108641
2021-09-01,"Counterfactual",710.238377013507
2021-10-01,"Counterfactual",697.44717301856
2021-11-01,"Counterfactual",684.886335200569
2021-12-01,"Counterfactual",672.551714726047
2022-01-01,"Counterfactual",660.439237480891
2022-02-01,"Counterfactual",648.54490272471
2022-03-01,"Counterfactual",636.86478176938
