"month","Models","values"
2019-10-01,"Model predicted",139.823643705067
2019-11-01,"Model predicted",168.985929763942
2019-12-01,"Model predicted",204.230441300888
2020-01-01,"Model predicted",246.825716272477
2020-02-01,"Model predicted",298.304864962147
2020-03-01,"Model predicted",294.077789710162
2020-04-01,"Model predicted",342.045446687047
2020-05-01,"Model predicted",397.837210741586
2020-06-01,"Model predicted",462.729288706064
2020-07-01,"Model predicted",538.206052237531
2020-08-01,"Model predicted",625.993992027399
2020-09-01,"Model predicted",678.944655580705
2020-10-01,"Model predicted",684.777508228848
2020-11-01,"Model predicted",690.660471250105
2020-12-01,"Model predicted",696.593975145579
2021-01-01,"Model predicted",702.57845411483
2021-02-01,"Model predicted",708.614346087655
2021-03-01,"Model predicted",714.702092756129
2021-04-01,"Model predicted",720.84213960693
2021-05-01,"Model predicted",727.034935953936
2021-06-01,"Model predicted",733.280934971109
2021-07-01,"Model predicted",739.580593725651
2021-08-01,"Model predicted",745.93437321146
2021-09-01,"Model predicted",752.342738382854
2021-10-01,"Model predicted",758.806158188603
2021-11-01,"Model predicted",765.325105606242
2021-12-01,"Model predicted",771.900057676683
2022-01-01,"Model predicted",778.531495539128
2022-02-01,"Model predicted",785.219904466264
2022-03-01,"Model predicted",791.965773899795
2019-10-01,"Adjusted for seasonality",135.795710110542
2019-11-01,"Adjusted for seasonality",170.745645968817
2019-12-01,"Adjusted for seasonality",206.701105393897
2020-01-01,"Adjusted for seasonality",243.410002922115
2020-02-01,"Adjusted for seasonality",280.695306042363
2020-03-01,"Adjusted for seasonality",318.804941287726
2020-04-01,"Adjusted for seasonality",358.124261760836
2020-05-01,"Adjusted for seasonality",399.038620564323
2020-06-01,"Adjusted for seasonality",443.714335071251
2020-07-01,"Adjusted for seasonality",492.053911439747
2020-08-01,"Adjusted for seasonality",541.046985950039
2020-09-01,"Adjusted for seasonality",587.683194882356
2020-10-01,"Adjusted for seasonality",640.15587228509
2020-11-01,"Adjusted for seasonality",697.075391791559
2020-12-01,"Adjusted for seasonality",741.056949059384
2021-01-01,"Adjusted for seasonality",774.506620150189
2021-02-01,"Adjusted for seasonality",806.998035449093
2021-03-01,"Adjusted for seasonality",831.897722098963
2021-04-01,"Adjusted for seasonality",842.572207242663
2021-05-01,"Adjusted for seasonality",828.899532640256
2021-06-01,"Adjusted for seasonality",796.639580325612
2021-07-01,"Adjusted for seasonality",762.981637852307
2021-08-01,"Adjusted for seasonality",745.114992773916
2021-09-01,"Adjusted for seasonality",739.896260562176
2021-10-01,"Adjusted for seasonality",734.878464145261
2021-11-01,"Adjusted for seasonality",733.2955022614
2021-12-01,"Adjusted for seasonality",738.381273648823
2022-01-01,"Adjusted for seasonality",751.695225276137
2022-02-01,"Adjusted for seasonality",771.420488514345
2022-03-01,"Adjusted for seasonality",795.726488705268
2019-10-01,"Counterfactual",139.823643705067
2019-11-01,"Counterfactual",168.985929763942
2019-12-01,"Counterfactual",204.230441300888
2020-01-01,"Counterfactual",246.825716272477
2020-02-01,"Counterfactual",298.304864962147
2020-03-01,"Counterfactual",360.52075044665
2020-04-01,"Counterfactual",435.712677763764
2020-05-01,"Counterfactual",526.586992090941
2020-06-01,"Counterfactual",636.414486864503
2020-07-01,"Counterfactual",769.148127800812
2020-08-01,"Counterfactual",929.565330000806
2020-09-01,"Counterfactual",1123.43990904608
2020-10-01,"Counterfactual",1357.74989503575
2020-11-01,"Counterfactual",1640.92868931005
2020-12-01,"Counterfactual",1983.16860361819
2021-01-01,"Counterfactual",2396.78770686287
2021-02-01,"Counterfactual",2896.67318315158
2021-03-01,"Counterfactual",3500.81715871784
2021-04-01,"Counterfactual",4230.96428346087
2021-05-01,"Counterfactual",5113.39437518004
2021-06-01,"Counterfactual",6179.86829582383
2021-07-01,"Counterfactual",7468.77110420098
2021-08-01,"Counterfactual",9026.4936300736
2021-09-01,"Counterfactual",10909.1021959329
2021-10-01,"Counterfactual",13184.3565839129
2021-11-01,"Counterfactual",15934.1488795084
2021-12-01,"Counterfactual",19257.4509721722
2022-01-01,"Counterfactual",23273.8768006954
2022-02-01,"Counterfactual",28127.987557475
2022-03-01,"Counterfactual",33994.4948067196
