"month","Models","values"
2019-10-01,"Model predicted",47.9515533140421
2019-11-01,"Model predicted",62.0159978656846
2019-12-01,"Model predicted",80.205618493496
2020-01-01,"Model predicted",103.730351188686
2020-02-01,"Model predicted",134.155012576838
2020-03-01,"Model predicted",93.783558411352
2020-04-01,"Model predicted",100.390943724718
2020-05-01,"Model predicted",107.463842838357
2020-06-01,"Model predicted",115.035052855507
2020-07-01,"Model predicted",123.139681551998
2020-08-01,"Model predicted",131.815310171361
2020-09-01,"Model predicted",117.716544168905
2020-10-01,"Model predicted",119.558057526921
2020-11-01,"Model predicted",121.42837882754
2020-12-01,"Model predicted",123.327958731384
2021-01-01,"Model predicted",125.257254949041
2021-02-01,"Model predicted",127.216732351353
2021-03-01,"Model predicted",129.206863081423
2021-04-01,"Model predicted",131.228126668387
2021-05-01,"Model predicted",133.281010142953
2021-06-01,"Model predicted",135.366008154753
2021-07-01,"Model predicted",137.483623091535
2021-08-01,"Model predicted",139.634365200208
2021-09-01,"Model predicted",141.818752709795
2021-10-01,"Model predicted",144.037311956298
2021-11-01,"Model predicted",146.290577509522
2021-12-01,"Model predicted",148.579092301879
2022-01-01,"Model predicted",150.903407759215
2022-02-01,"Model predicted",153.264083933671
2022-03-01,"Model predicted",155.661689638635
2019-10-01,"Adjusted for seasonality",67.6618270443709
2019-11-01,"Adjusted for seasonality",74.8272560404903
2019-12-01,"Adjusted for seasonality",81.3472389494722
2020-01-01,"Adjusted for seasonality",86.9269432533949
2020-02-01,"Adjusted for seasonality",91.270714511954
2020-03-01,"Adjusted for seasonality",94.630154711271
2020-04-01,"Adjusted for seasonality",97.5313159730635
2020-05-01,"Adjusted for seasonality",100.500250419049
2020-06-01,"Adjusted for seasonality",101.677438281184
2020-07-01,"Adjusted for seasonality",100.560635225269
2020-08-01,"Adjusted for seasonality",99.7118065237846
2020-09-01,"Adjusted for seasonality",101.692917449212
2020-10-01,"Adjusted for seasonality",108.512514778104
2020-11-01,"Adjusted for seasonality",118.017826152104
2020-12-01,"Adjusted for seasonality",126.528838141332
2021-01-01,"Adjusted for seasonality",136.548775102184
2021-02-01,"Adjusted for seasonality",150.012498685781
2021-03-01,"Adjusted for seasonality",162.387451404332
2021-04-01,"Adjusted for seasonality",169.141075770046
2021-05-01,"Adjusted for seasonality",168.87025118223
2021-06-01,"Adjusted for seasonality",164.854567701961
2021-07-01,"Adjusted for seasonality",159.585533834105
2021-08-01,"Adjusted for seasonality",155.554658083528
2021-09-01,"Adjusted for seasonality",152.190391930666
2021-10-01,"Adjusted for seasonality",147.677063951705
2021-11-01,"Adjusted for seasonality",142.639998295129
2021-12-01,"Adjusted for seasonality",137.704519109426
2022-01-01,"Adjusted for seasonality",133.244901047838
2022-02-01,"Adjusted for seasonality",128.957393844043
2022-03-01,"Adjusted for seasonality",124.450284267181
2019-10-01,"Counterfactual",47.9515533140421
2019-11-01,"Counterfactual",62.0159978656846
2019-12-01,"Counterfactual",80.205618493496
2020-01-01,"Counterfactual",103.730351188686
2020-02-01,"Counterfactual",134.155012576838
2020-03-01,"Counterfactual",173.503388287522
2020-04-01,"Counterfactual",224.392850993986
2020-05-01,"Counterfactual",290.208462636867
2020-06-01,"Counterfactual",375.328141752213
2020-07-01,"Counterfactual",485.413873569354
2020-08-01,"Counterfactual",627.788333572821
2020-09-01,"Counterfactual",811.921976749661
2020-10-01,"Counterfactual",1050.06299269276
2020-11-01,"Counterfactual",1358.05202987238
2020-12-01,"Counterfactual",1756.37588285156
2021-01-01,"Counterfactual",2271.53023154236
2021-02-01,"Counterfactual",2937.78207910351
2021-03-01,"Counterfactual",3799.44912220762
2021-04-01,"Counterfactual",4913.84767268018
2021-05-01,"Counterfactual",6355.10522016801
2021-06-01,"Counterfactual",8219.09123963095
2021-07-01,"Counterfactual",10629.7942307858
2021-08-01,"Counterfactual",13747.5691769933
2021-09-01,"Counterfactual",17779.8040275184
2021-10-01,"Counterfactual",22994.7147155289
2021-11-01,"Counterfactual",29739.1863279362
2021-12-01,"Counterfactual",38461.8471848419
2022-01-01,"Counterfactual",49742.9106686926
2022-02-01,"Counterfactual",64332.769819976
2022-03-01,"Counterfactual",83201.9119322436
